Date,CollisionCount
2018-01-02,4
2018-01-03,6
2018-01-04,10
2018-01-05,10
2018-01-06,2
2018-01-07,5
2018-01-08,15
2018-01-09,9
2018-01-10,7
2018-01-11,6
2018-01-12,10
2018-01-13,5
2018-01-14,2
2018-01-15,12
2018-01-16,18
2018-01-17,15
2018-01-18,17
2018-01-19,10
2018-01-20,4
2018-01-21,6
2018-01-22,13
2018-01-23,10
2018-01-24,11
2018-01-25,11
2018-01-26,9
2018-01-27,3
2018-01-28,2
2018-01-29,7
2018-01-30,11
2018-01-31,10
2018-02-01,12
2018-02-02,14
2018-02-03,5
2018-02-04,3
2018-02-05,9
2018-02-06,4
2018-02-07,9
2018-02-08,6
2018-02-09,11
2018-02-10,6
2018-02-11,4
2018-02-12,8
2018-02-13,9
2018-02-14,11
2018-02-15,8
2018-02-16,7
2018-02-17,4
2018-02-18,4
2018-02-19,6
2018-02-20,10
2018-02-21,12
2018-02-22,6
2018-02-23,6
2018-02-24,3
2018-02-25,3
2018-02-26,4
2018-02-27,3
2018-02-28,1
2018-03-01,1
2018-03-02,1
2018-03-04,1
2018-03-05,8
2018-03-06,6
2018-03-07,8
2018-03-08,9
2018-03-09,8
2018-03-10,6
2018-03-11,2
2018-03-12,5
2018-03-13,11
2018-03-14,13
2018-03-15,5
2018-03-16,13
2018-03-17,2
2018-03-18,3
2018-03-19,8
2018-03-20,11
2018-03-21,13
2018-03-22,2
2018-03-23,13
2018-03-24,13
2018-03-25,3
2018-03-26,11
2018-03-27,9
2018-03-28,8
2018-03-29,4
2018-03-30,3
2018-03-31,1
2018-04-01,5
2018-04-03,5
2018-04-04,5
2018-04-05,7
2018-04-06,5
2018-04-07,3
2018-04-08,4
2018-04-09,3
2018-04-10,3
2018-04-11,7
2018-04-12,6
2018-04-13,9
2018-04-14,12
2018-04-15,2
2018-04-16,3
2018-04-17,5
2018-04-18,20
2018-04-19,8
2018-04-20,12
2018-04-21,14
2018-04-22,5
2018-04-23,11
2018-04-24,9
2018-04-25,11
2018-04-26,15
2018-04-27,9
2018-04-28,3
2018-04-29,6
2018-04-30,7
2018-05-01,12
2018-05-02,16
2018-05-03,14
2018-05-04,7
2018-05-05,12
2018-05-06,7
2018-05-07,5
2018-05-08,18
2018-05-09,15
2018-05-10,9
2018-05-11,14
2018-05-12,7
2018-05-13,5
2018-05-14,10
2018-05-15,11
2018-05-16,10
2018-05-17,18
2018-05-18,14
2018-05-19,10
2018-05-20,6
2018-05-21,15
2018-05-22,9
2018-05-23,13
2018-05-24,10
2018-05-25,12
2018-05-26,2
2018-05-27,3
2018-05-28,5
2018-05-29,8
2018-05-30,5
2018-05-31,9
2018-06-01,11
2018-06-02,4
2018-06-03,6
2018-06-04,10
2018-06-05,12
2018-06-06,18
2018-06-07,9
2018-06-08,13
2018-06-09,4
2018-06-10,7
2018-06-11,19
2018-06-12,9
2018-06-13,16
2018-06-14,13
2018-06-15,12
2018-06-16,6
2018-06-17,2
2018-06-18,13
2018-06-19,8
2018-06-20,14
2018-06-21,11
2018-06-22,14
2018-06-23,4
2018-06-24,7
2018-06-25,11
2018-06-26,17
2018-06-27,14
2018-06-28,15
2018-06-29,11
2018-06-30,9
