Date,CollisionCount
2016-01-01,1
2016-01-02,4
2016-01-03,3
2016-01-04,6
2016-01-05,3
2016-01-06,9
2016-01-07,10
2016-01-08,5
2016-01-09,7
2016-01-10,6
2016-01-11,11
2016-01-12,8
2016-01-13,15
2016-01-14,9
2016-01-15,9
2016-01-16,4
2016-01-17,3
2016-01-18,5
2016-01-19,4
2016-01-20,8
2016-01-21,6
2016-01-22,5
2016-01-23,5
2016-01-24,7
2016-01-25,10
2016-01-26,12
2016-01-27,4
2016-01-28,12
2016-01-29,7
2016-01-30,8
2016-01-31,3
2016-02-01,7
2016-02-02,8
2016-02-03,8
2016-02-04,8
2016-02-05,4
2016-02-06,10
2016-02-07,3
2016-02-08,12
2016-02-09,7
2016-02-10,12
2016-02-11,2
2016-02-12,8
2016-02-13,3
2016-02-15,11
2016-02-16,7
2016-02-17,7
2016-02-18,7
2016-02-19,9
2016-02-20,7
2016-02-21,1
2016-02-22,10
2016-02-23,9
2016-02-24,15
2016-02-25,11
2016-02-26,5
2016-02-27,3
2016-02-28,1
2016-02-29,3
2016-03-01,6
2016-03-02,9
2016-03-03,14
2016-03-04,9
2016-03-05,1
2016-03-06,6
2016-03-07,12
2016-03-08,7
2016-03-09,7
2016-03-10,7
2016-03-11,8
2016-03-12,8
2016-03-13,7
2016-03-14,10
2016-03-15,8
2016-03-16,12
2016-03-17,13
2016-03-18,3
2016-03-19,7
2016-03-20,2
2016-03-21,7
2016-03-22,14
2016-03-23,10
2016-03-24,13
2016-03-25,7
2016-03-26,2
2016-03-28,1
2016-03-29,6
2016-03-30,9
2016-03-31,6
2016-04-01,10
2016-04-02,4
2016-04-03,3
2016-04-04,8
2016-04-05,6
2016-04-06,8
2016-04-07,9
2016-04-08,8
2016-04-09,3
2016-04-10,8
2016-04-11,10
2016-04-12,13
2016-04-13,16
2016-04-14,20
2016-04-15,10
2016-04-16,4
2016-04-17,7
2016-04-18,6
2016-04-19,18
2016-04-20,9
2016-04-21,13
2016-04-22,12
2016-04-23,6
2016-04-24,3
2016-04-25,8
2016-04-26,6
2016-04-27,9
2016-04-28,15
2016-04-29,9
2016-04-30,6
2016-05-01,5
2016-05-02,2
2016-05-03,6
2016-05-04,18
2016-05-05,17
2016-05-06,9
2016-05-07,8
2016-05-08,4
2016-05-09,9
2016-05-10,15
2016-05-11,10
2016-05-12,17
2016-05-13,11
2016-05-14,5
2016-05-15,4
2016-05-16,16
2016-05-17,13
2016-05-18,8
2016-05-19,13
2016-05-20,18
2016-05-21,7
2016-05-22,8
2016-05-23,13
2016-05-24,23
2016-05-25,15
2016-05-26,13
2016-05-27,8
2016-05-28,11
2016-05-29,2
2016-05-30,6
2016-05-31,1
2016-06-01,12
2016-06-02,7
2016-06-03,15
2016-06-04,6
2016-06-05,8
2016-06-06,10
2016-06-07,10
2016-06-08,12
2016-06-09,9
2016-06-10,13
2016-06-11,1
2016-06-12,4
2016-06-13,14
2016-06-14,6
2016-06-15,14
2016-06-16,12
2016-06-17,9
2016-06-18,6
2016-06-19,6
2016-06-20,14
2016-06-21,19
2016-06-22,14
2016-06-23,7
2016-06-24,17
2016-06-25,1
2016-06-26,7
2016-06-27,8
2016-06-28,9
2016-06-29,9
2016-06-30,19
