Date,CollisionCount
2017-01-01,1
2017-01-02,3
2017-01-03,5
2017-01-04,8
2017-01-05,8
2017-01-06,7
2017-01-07,3
2017-01-08,4
2017-01-09,13
2017-01-10,12
2017-01-11,7
2017-01-12,8
2017-01-13,6
2017-01-14,3
2017-01-15,1
2017-01-16,9
2017-01-17,13
2017-01-18,9
2017-01-19,11
2017-01-20,12
2017-01-21,7
2017-01-23,6
2017-01-24,9
2017-01-25,10
2017-01-26,3
2017-01-27,8
2017-01-28,5
2017-01-29,2
2017-01-30,13
2017-01-31,10
2017-02-01,3
2017-02-02,7
2017-02-03,12
2017-02-04,5
2017-02-05,2
2017-02-06,7
2017-02-07,10
2017-02-08,6
2017-02-09,7
2017-02-10,5
2017-02-11,3
2017-02-12,2
2017-02-13,7
2017-02-14,12
2017-02-15,9
2017-02-16,8
2017-02-17,6
2017-02-18,6
2017-02-19,2
2017-02-20,10
2017-02-21,7
2017-02-22,5
2017-02-23,5
2017-02-24,7
2017-02-25,4
2017-02-26,3
2017-02-27,9
2017-02-28,8
2017-03-01,13
2017-03-02,9
2017-03-03,6
2017-03-04,4
2017-03-05,2
2017-03-06,10
2017-03-07,11
2017-03-08,5
2017-03-09,8
2017-03-10,9
2017-03-11,5
2017-03-12,4
2017-03-13,11
2017-03-14,10
2017-03-15,16
2017-03-16,17
2017-03-17,5
2017-03-18,7
2017-03-19,3
2017-03-20,9
2017-03-21,6
2017-03-22,7
2017-03-23,11
2017-03-24,6
2017-03-25,8
2017-03-26,3
2017-03-27,11
2017-03-28,10
2017-03-29,12
2017-03-30,11
2017-03-31,8
2017-04-01,4
2017-04-02,9
2017-04-03,8
2017-04-04,9
2017-04-05,10
2017-04-06,9
2017-04-07,10
2017-04-08,10
2017-04-09,10
2017-04-10,9
2017-04-11,11
2017-04-12,6
2017-04-13,6
2017-04-14,8
2017-04-15,3
2017-04-16,2
2017-04-17,4
2017-04-18,8
2017-04-19,10
2017-04-20,8
2017-04-21,11
2017-04-22,10
2017-04-23,4
2017-04-24,18
2017-04-25,12
2017-04-26,9
2017-04-27,10
2017-04-28,8
2017-04-29,6
2017-04-30,5
2017-05-01,3
2017-05-02,9
2017-05-03,4
2017-05-04,16
2017-05-05,8
2017-05-06,4
2017-05-07,8
2017-05-08,12
2017-05-09,7
2017-05-10,14
2017-05-11,11
2017-05-12,5
2017-05-13,4
2017-05-14,4
2017-05-15,9
2017-05-16,12
2017-05-17,15
2017-05-18,13
2017-05-19,5
2017-05-20,5
2017-05-21,7
2017-05-22,8
2017-05-23,14
2017-05-24,9
2017-05-25,18
2017-05-26,16
2017-05-27,7
2017-05-28,5
2017-05-29,5
2017-05-30,11
2017-05-31,10
2017-06-01,12
2017-06-02,12
2017-06-03,9
2017-06-04,9
2017-06-05,6
2017-06-06,5
2017-06-07,9
2017-06-08,13
2017-06-09,9
2017-06-10,6
2017-06-11,6
2017-06-12,7
2017-06-13,14
2017-06-14,17
2017-06-15,12
2017-06-16,13
2017-06-17,11
2017-06-18,9
2017-06-19,15
2017-06-20,8
2017-06-21,14
2017-06-22,4
2017-06-23,11
2017-06-24,5
2017-06-25,6
2017-06-26,13
2017-06-27,5
2017-06-28,7
2017-06-29,14
2017-06-30,18
